Winner,Loser,Round,year
LA Galaxy,Vancouver W'caps,Knockout round,2012
Houston Dynamo,Sporting KC,Conference Semifinals,2012
D.C. United,NY Red Bulls,Conference Semifinals,2012
LA Galaxy,SJ Earthquakes,Conference Semifinals,2012
Seattle Sounders FC,Real Salt Lake,Conference Semifinals,2012
Houston Dynamo,D.C. United,Conference Semifinals,2012
LA Galaxy,Seattle Sounders FC,Conference Semifinals,2012
LA Galaxy,Houston Dynamo,MLS Cup 2012,2012
Seattle Sounders FC,Colorado Rapids,Knockout round,2013
Houston Dynamo,CF Montréal,Knockout round,2013
Sporting KC,NE Revolution,Conference Semifinals,2013
Portland Timbers,Seattle Sounders FC,Conference Semifinals,2013
Houston Dynamo,NY Red Bulls,Conference Semifinals,2013
Real Salt Lake,LA Galaxy,Conference Semifinals,2013
Sporting KC,Houston Dynamo,Conference Semifinals,2013
Real Salt Lake,Portland Timbers,Conference Semifinals,2013
Sporting KC,Real Salt Lake,MLS Cup 2013,2013
FC Dallas,Vancouver W'caps,Knockout round,2014
NY Red Bulls,Sporting KC,Knockout round,2014
Seattle Sounders FC,FC Dallas,Conference Semifinals,2014
NY Red Bulls,D.C. United,Conference Semifinals,2014
NE Revolution,Columbus Crew,Conference Semifinals,2014
LA Galaxy,Real Salt Lake,Conference Semifinals,2014
LA Galaxy,Seattle Sounders FC,Conference Semifinals,2014
NE Revolution,NY Red Bulls,Conference Semifinals,2014
LA Galaxy,NE Revolution,MLS Cup 2014,2014
Seattle Sounders FC,LA Galaxy,Knockout round,2015
D.C. United,NE Revolution,Knockout round,2015
CF Montréal,Toronto FC,Knockout round,2015
Portland Timbers,Sporting KC,Knockout round,2015
NY Red Bulls,D.C. United,Conference Semifinals,2015
FC Dallas,Seattle Sounders FC,Conference Semifinals,2015
Portland Timbers,Vancouver W'caps,Conference Semifinals,2015
Columbus Crew,CF Montréal,Conference Semifinals,2015
Portland Timbers,FC Dallas,Conference Finals,2015
Columbus Crew,NY Red Bulls,Conference Finals,2015
Portland Timbers,Columbus Crew,MLS Cup 2015,2015
Toronto FC,Philadelphia Union,Knockout round,2016
LA Galaxy,Real Salt Lake,Knockout round,2016
Seattle Sounders FC,Sporting KC,Knockout round,2016
CF Montréal,D.C. United,Knockout round,2016
Seattle Sounders FC,FC Dallas,Conference Semifinals,2016
