Rk,Squad,MP,W,Wso,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,year,D,xG,xGA,xGD,xGD/90
3, Nashville SC,34,12,,4,55,33,+22,54,1.59,"19,017",Hany Mukhtar - 16,Joe Willis,→ First Round ,2021,18,50.5,37.9,+12.6,+0.37
4, NYCFC,34,14,,11,56,36,+20,51,1.50,"3,401",Valentín Castellanos - 19,Sean Johnson,→ First Round ,2021,9,58.8,36.9,+21.9,+0.64
5, Atlanta Utd,34,13,,9,45,37,+8,51,1.50,"43,964",Josef Martínez - 12,Brad Guzan,→ First Round ,2021,12,47.7,48.8,-1.1,-0.03
6, Orlando City,34,13,,9,50,48,+2,51,1.50,"14,723","Nani, Daryl Dike - 10",Pedro Gallese,→ First Round ,2021,12,46.4,43.3,+3.1,+0.09
7, NY Red Bulls,34,13,,12,39,33,+6,48,1.41,"10,065",Patryk Klimala - 8,Carlos Coronel,→ First Round ,2021,9,50.6,39.9,+10.7,+0.31
8, D.C. United,34,14,,15,56,54,+2,47,1.38,"11,880",Ola Kamara - 19,Bill Hamid,,2021,5,55.7,43.9,+11.8,+0.35
9, Columbus Crew,34,13,,13,46,45,+1,47,1.38,"16,583",Lucas Zelarayán - 12,Eloy Room,,2021,8,43.4,49.2,-5.9,-0.17
10, CF Montréal,34,12,,12,46,44,+2,46,1.35,647,Romell Quioto - 8,James Pantemis,,2021,10,48.5,44.3,+4.2,+0.12
11, Inter Miami,34,12,,17,36,53,-17,41,1.21,"11,635",Gonzalo Higuaín - 12,Nick Marsman,,2021,5,38.3,57.2,-18.9,-0.56
12, Chicago Fire,34,9,,18,36,54,-18,34,1.00,"10,226","Luka Stojanović, Robert Berić - 8",Bobby Shuttleworth,,2021,7,46.0,57.0,-11.0,-0.32
13, Toronto FC,34,6,,18,39,66,-27,28,0.82,"4,181","Jozy Altidore, Jonathan Osorio - 4",Alex Bono,,2021,10,44.4,61.4,-16.9,-0.50
14, FC Cincinnati,34,4,,22,37,74,-37,20,0.59,"21,175",Brenner - 8,Kenneth Vermeer,,2021,8,42.2,62.2,-20.0,-0.59
1, Colorado Rapids,34,17,,7,51,35,+16,61,1.79,"9,506",Michael Barrios - 8,William Yarbrough,→ Conference Semifinals ,2021,10,50.0,42.7,+7.3,+0.21
2, Seattle Sounders FC,34,17,,8,53,33,+20,60,1.76,"27,125",Raúl Ruidíaz - 17,Stefan Frei,→ First Round ,2021,9,50.7,40.1,+10.6,+0.31
3, Sporting KC,34,17,,10,58,40,+18,58,1.71,"17,882",Dániel Sallói - 16,Tim Melia,→ First Round ,2021,7,55.9,52.4,+3.5,+0.10
4, Portland Timbers,34,17,,13,56,52,+4,55,1.62,"17,834",Felipe Mora - 11,Steve Clark,→ First Round ,2021,4,53.6,63.8,-10.2,-0.30
5, Minnesota Utd,34,13,,11,42,44,-2,49,1.44,"11,315",Robin Lod - 9,Tyler Miller,→ First Round ,2021,10,54.5,46.4,+8.1,+0.24
6, Vancouver W'caps,34,12,,9,45,45,0,49,1.44,"5,447",Brian White - 12,Maxime Crépeau,→ First Round ,2021,13,43.0,54.6,-11.7,-0.34
7, Real Salt Lake,34,14,,14,55,54,+1,48,1.41,"13,599",Damir Kreilach - 16,David Ochoa,→ First Round ,2021,6,52.0,54.1,-2.1,-0.06
8, LA Galaxy,34,13,,12,50,54,-4,48,1.41,"14,849",Javier Hernández - 17,Jonathan Bond,,2021,9,52.0,53.3,-1.4,-0.04
9, LAFC,34,12,,13,53,51,+2,45,1.32,"18,458",Cristian Arango - 14,Tomas Romero,,2021,9,65.7,44.7,+21.0,+0.62
10, SJ Earthquakes,34,10,,13,46,54,-8,41,1.21,"9,132",Javier Eduardo López - 12,J.T. Marcinkowski,,2021,11,53.7,60.5,-6.7,-0.20
11, FC Dallas,34,7,,15,47,56,-9,33,0.97,"13,418",Ricardo Pepi - 13,Jimmy Maurer,,2021,12,50.4,55.9,-5.5,-0.16
12, Austin,34,9,,21,35,56,-21,31,0.91,"15,858","Diego Fagúndez, Cecilio Domínguez - 7",Brad Stuver,,2021,4,46.2,61.3,-15.1,-0.44
13, Houston Dynamo,34,6,,16,36,54,-18,30,0.88,"11,844",Fafà Picault - 11,Marko Marić,,2021,12,45.6,53.0,-7.4,-0.22
1, Philadelphia Union,34,19,,5,72,26,+46,67,1.97,"20,424",Dániel Gazdag - 22,Andre Blake,→ Conference Semifinals ,2022,10,59.3,38.0,+21.3,+0.63
2, CF Montréal,34,20,,9,63,50,+13,65,1.91,"18,077",Romell Quioto - 15,Sebastian Breza,→ First Round ,2022,5,55.3,37.1,+18.2,+0.54
3, NYCFC,34,16,,11,57,41,+16,55,1.62,"18,243",Valentín Castellanos - 13,Sean Johnson,→ First Round ,2022,7,58.5,38.1,+20.4,+0.60
4, NY Red Bulls,34,15,,11,50,41,+9,53,1.56,"18,009",Lewis Morgan - 14,Carlos Coronel,→ First Round ,2022,8,45.5,39.2,+6.3,+0.18
5, FC Cincinnati,34,12,,9,64,56,+8,49,1.44,"22,487","Brenner, Brandon Vazquez - 18",Roman Celentano,→ First Round ,2022,13,55.7,48.3,+7.4,+0.22
6, Inter Miami,34,14,,14,47,56,-9,48,1.41,"11,871",Gonzalo Higuaín - 16,Drake Callender,→ First Round ,2022,6,42.0,48.5,-6.5,-0.19
7, Orlando City,34,14,,14,44,53,-9,48,1.41,"14,331",Ercan Kara - 11,Pedro Gallese,→ First Round ,2022,6,40.1,48.1,-8.0,-0.24
8, Columbus Crew,34,10,,8,46,41,+5,46,1.35,"19,237",Lucas Zelarayán - 10,Eloy Room,,2022,16,40.6,42.7,-2.1,-0.06
9, Charlotte,34,13,,18,44,52,-8,42,1.24,"35,260",Karol Świderski - 10,Kristijan Kahlina,,2022,3,41.8,44.1,-2.3,-0.07
10, NE Revolution,34,10,,12,47,50,-3,42,1.24,"21,221",Gustavo Bou - 8,Đorđe Petrović,,2022,12,44.7,53.7,-9.0,-0.26
11, Atlanta Utd,34,10,,14,48,54,-6,40,1.18,"47,116",Josef Martínez - 9,Rocco Ríos Novo,,2022,10,55.8,50.2,+5.6,+0.16
12, Chicago Fire,34,10,,15,39,48,-9,39,1.15,"15,848",Jhon Durán - 8,Gaga Slonina,,2022,9,47.0,47.0,0.0,0.00
13, Toronto FC,34,9,,18,49,66,-17,34,1.00,"25,423","Jesús Jiménez, Jonathan Osorio - 9",Alex Bono,,2022,7,42.3,58.7,-16.4,-0.48
14, D.C. United,34,7,,21,36,71,-35,27,0.79,"16,256",Taxiarchis Fountas - 12,Rafael Romo,,2022,6,36.9,57.6,-20.7,-0.61
1, LAFC,34,21,,9,66,38,+28,67,1.97,"24,724",Cristian Arango - 16,Maxime Crépeau,→ Conference Semifinals ,2022,4,62.2,34.6,+27.6,+0.81
2, Austin,34,16,,10,65,49,+16,56,1.65,"23,178",Sebastián Driussi - 22,Brad Stuver,→ First Round ,2022,8,50.9,52.7,-1.7,-0.05
3, FC Dallas,34,14,,9,48,37,+11,53,1.56,"17,592",Jesús Ferreira - 18,Maarten Paes,→ First Round ,2022,11,42.4,43.6,-1.1,-0.03
4, LA Galaxy,34,14,,12,58,51,+7,50,1.47,"24,152",Javier Hernández - 18,Jonathan Bond,→ First Round ,2022,8,59.6,48.3,+11.3,+0.33
5, Nashville SC,34,13,,10,52,41,+11,50,1.47,"27,554",Hany Mukhtar - 23,Joe Willis,→ First Round ,2022,11,52.4,44.2,+8.3,+0.24
6, Minnesota Utd,34,14,,14,48,51,-3,48,1.41,"18,405",Emanuel Reynoso - 10,Dayne St. Clair,→ First Round ,2022,6,45.4,48.5,-3.2,-0.09
7, Real Salt Lake,34,12,,11,43,45,-2,47,1.38,"20,470",Sergio Córdova - 9,Zac MacMath,→ First Round ,2022,11,45.1,44.6,+0.5,+0.01
8, Portland Timbers,34,11,,10,53,53,0,46,1.35,"23,841",Dairon Asprilla - 10,Aljaž Ivačič,,2022,13,50.3,51.8,-1.5,-0.04
9, Vancouver W'caps,34,12,,15,40,57,-17,43,1.26,"16,399",Lucas Cavallini - 9,Thomas Hasal,,2022,7,38.3,50.0,-11.7,-0.35
10, Colorado Rapids,34,11,,13,46,57,-11,43,1.26,"14,473",Diego Rubio - 16,William Yarbrough,,2022,10,50.8,52.1,-1.3,-0.04
11, Seattle Sounders FC,34,12,,17,47,46,+1,41,1.21,"33,607",Raúl Ruidíaz - 9,Stefan Frei,,2022,5,47.8,52.5,-4.7,-0.14
12, Sporting KC,34,11,,16,42,54,-12,40,1.18,"18,365","Johnny Russell, William Agada - 8",Tim Melia,,2022,7,38.8,46.4,-7.6,-0.22
13, Houston Dynamo,34,10,,18,43,56,-13,36,1.06,"16,426",Sebastián Ferreira - 13,Steve Clark,,2022,6,44.3,57.2,-12.9,-0.38
14, SJ Earthquakes,34,8,,15,52,69,-17,35,1.03,"15,260",Jeremy Ebobisse - 17,J.T. Marcinkowski,,2022,11,44.9,60.8,-15.9,-0.47
1, FC Cincinnati,34,20,,5,57,39,+18,69,2.03,"29,782",Luciano Acosta - 17,Roman Celentano,→ Round One ,2023,9,56.3,40.7,+15.6,+0.46
2, Orlando City,34,18,,7,55,39,+16,63,1.85,"23,253",Facundo Torres - 14,Pedro Gallese,→ Round One ,2023,9,42.1,40.7,+1.4,+0.04
3, Columbus Crew,34,16,,9,67,46,+21,57,1.68,"23,912",Cucho - 16,Patrick Schulte,→ Round One ,2023,9,57.7,41.3,+16.4,+0.48
4, Philadelphia Union,34,15,,9,57,41,+16,55,1.62,"20,071","Dániel Gazdag, Julián Carranza - 14",Andre Blake,→ Round One ,2023,10,49.4,44.2,+5.3,+0.16
5, NE Revolution,34,15,,9,58,46,+12,55,1.62,"24,835",Carles Gil - 11,Đorđe Petrović,→ Round One ,2023,10,42.5,45.0,-2.5,-0.07
6, Atlanta Utd,34,13,,9,66,53,+13,51,1.50,"49,988",Giorgos Giakoumakis - 17,Brad Guzan,→ Round One ,2023,12,48.7,46.0,+2.8,+0.08
7, Nashville SC,34,13,,11,39,32,+7,49,1.44,"29,746",Hany Mukhtar - 15,Joe Willis,→ Round One ,2023,10,41.8,36.2,+5.6,+0.16
8, NY Red Bulls,34,11,,13,36,39,-3,43,1.26,"20,371",Omir Fernandez - 6,Carlos Coronel,→ Wild Card Round ,2023,10,46.3,33.9,+12.4,+0.37
9, Charlotte,34,10,,11,45,52,-7,43,1.26,"36,572",Karol Świderski - 12,Kristijan Kahlina,→ Wild Card Round ,2023,13,37.0,49.7,-12.7,-0.37
10, CF Montréal,34,12,,17,36,52,-16,41,1.21,"17,552",Mathieu Choiniere - 5,Jonathan Sirois,,2023,5,37.8,50.2,-12.4,-0.36
11, NYCFC,34,9,,11,35,39,-4,41,1.21,"19,673",Gabriel Pereira - 6,Luis Barraza,,2023,14,42.0,36.1,+5.9,+0.17
12, D.C. United,34,10,,14,45,49,-4,40,1.18,"17,540",Christian Benteke - 14,Tyler Miller,,2023,10,45.8,42.6,+3.3,+0.10
13, Chicago Fire,34,10,,14,39,51,-12,40,1.18,"18,170",Maren Haile-Selassie - 6,Christopher Brady,,2023,10,38.2,51.1,-12.9,-0.38
14, Inter Miami,34,9,,18,41,54,-13,34,1.00,"17,698",Leonardo Campana - 9,Drake Callender,,2023,7,38.2,52.2,-14.0,-0.41
15, Toronto FC,34,4,,20,26,59,-33,22,0.65,"25,310","Federico Bernardeschi, Deandre Kerr - 5",Sean Johnson,,2023,10,31.3,54.0,-22.7,-0.67
1, St. Louis,34,17,,12,62,45,+17,56,1.65,"23,742","Klauss, Nicholas Gioacchini - 10",Roman Bürki,→ Round One ,2023,5,42.6,50.1,-7.5,-0.22
2, Seattle Sounders FC,34,14,,9,41,32,+9,53,1.56,"37,893",Jordan Morris - 11,Stefan Frei,→ Round One ,2023,11,48.1,32.2,+15.9,+0.47
3, LAFC,34,14,,10,54,39,+15,52,1.53,"24,757",Denis Bouanga - 20,John McCarthy,→ Round One ,2023,10,55.6,38.0,+17.6,+0.52
4, Houston Dynamo,34,14,,11,51,38,+13,51,1.50,"18,217",Amine Bassi - 10,Steve Clark,→ Round One ,2023,9,44.9,41.0,+3.9,+0.11
5, Real Salt Lake,34,14,,12,48,50,-2,50,1.47,"20,620",Jefferson Savarino - 7,Zac MacMath,→ Round One ,2023,8,43.3,48.7,-5.4,-0.16
6, Vancouver W'caps,34,12,,10,55,48,+7,48,1.41,"18,521",Brian White - 15,Yohei Takaoka,→ Round One ,2023,12,54.6,43.1,+11.5,+0.34
7, FC Dallas,34,11,,10,41,37,+4,46,1.35,"19,362",Jesús Ferreira - 12,Maarten Paes,→ Round One ,2023,13,37.8,36.6,+1.2,+0.04
8, Sporting KC,34,12,,14,48,51,-3,44,1.29,"20,915",Alan Pulido - 14,Tim Melia,→ Wild Card Round ,2023,8,41.1,45.1,-4.1,-0.12
9, SJ Earthquakes,34,10,,10,39,43,-4,44,1.29,"18,412",Cristian Espinoza - 13,Daniel,→ Wild Card Round ,2023,14,44.3,51.4,-7.2,-0.21
10, Portland Timbers,34,11,,13,46,58,-12,43,1.26,"23,103",Evander - 9,David Bingham,,2023,10,41.2,44.1,-2.9,-0.09
11, Minnesota Utd,34,10,,13,46,51,-5,41,1.21,"19,568",Teemu Pukki - 10,Dayne St. Clair,,2023,11,53.4,47.6,+5.8,+0.17
12, Austin,34,10,,15,49,55,-6,39,1.15,"20,738",Sebastián Driussi - 11,Brad Stuver,,2023,9,42.5,49.9,-7.4,-0.22
13, LA Galaxy,34,8,,14,51,67,-16,36,1.06,"24,106","Tyler Boyd, Riqui Puig - 7",Jonathan Bond,,2023,12,51.2,54.5,-3.3,-0.10
14, Colorado Rapids,34,5,,17,26,54,-28,27,0.79,"15,409",Cole Bassett - 6,William Yarbrough,,2023,12,37.9,47.4,-9.5,-0.28
