Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,year,OL,RPt%,ROW,RgRec,RgPt%,RW
Dallas Stars,82,36,28,13,90,.549,215,213,0.09,0.07,2002,5,.518,,,,
Mighty Ducks of Anaheim,82,29,42,8,69,.421,175,198,-0.20,0.08,2002,3,.402,,,,
New Jersey Devils,82,46,20,10,108,.659,216,166,0.49,-0.12,2003,6,.622,,,,
Philadelphia Flyers,82,45,20,13,107,.652,211,166,0.43,-0.12,2003,4,.628,,,,
New York Islanders,82,35,34,11,83,.506,224,231,-0.16,-0.07,2003,2,.494,,,,
New York Rangers,82,32,36,10,78,.476,210,231,-0.33,-0.08,2003,4,.451,,,,
Pittsburgh Penguins,82,27,44,6,65,.396,189,255,-0.85,-0.04,2003,5,.366,,,,
Ottawa Senators,82,52,21,8,113,.689,263,182,0.88,-0.11,2003,1,.683,,,,
Toronto Maple Leafs,82,44,28,7,98,.598,236,208,0.26,-0.08,2003,3,.579,,,,
Boston Bruins,82,36,31,11,87,.530,245,237,0.02,-0.08,2003,4,.506,,,,
Montreal Canadiens,82,30,35,8,77,.470,206,234,-0.39,-0.05,2003,9,.415,,,,
Buffalo Sabres,82,27,37,10,72,.439,190,219,-0.40,-0.05,2003,8,.390,,,,
Tampa Bay Lightning,82,36,25,16,93,.567,219,210,-0.01,-0.12,2003,5,.537,,,,
Washington Capitals,82,39,29,8,92,.561,224,220,-0.06,-0.11,2003,6,.524,,,,
Atlanta Thrashers,82,31,39,7,74,.451,226,284,-0.78,-0.07,2003,5,.421,,,,
Florida Panthers,82,24,36,13,70,.427,176,237,-0.78,-0.03,2003,9,.372,,,,
Carolina Hurricanes,82,22,43,11,61,.372,171,240,-0.90,-0.06,2003,6,.335,,,,
Detroit Red Wings,82,48,20,10,110,.671,269,203,0.85,0.05,2003,4,.646,,,,
St. Louis Blues,82,41,24,11,99,.604,253,222,0.43,0.05,2003,6,.567,,,,
Chicago Blackhawks,82,30,33,13,79,.482,207,226,-0.14,0.09,2003,6,.445,,,,
Nashville Predators,82,27,35,13,74,.451,183,206,-0.17,0.11,2003,7,.409,,,,
Columbus Blue Jackets,82,29,42,8,69,.421,213,263,-0.51,0.11,2003,3,.402,,,,
Colorado Avalanche,82,42,19,13,105,.640,251,194,0.75,0.06,2003,8,.591,,,,
Vancouver Canucks,82,45,23,13,104,.634,264,208,0.74,0.05,2003,1,.628,,,,
Minnesota Wild,82,42,29,10,95,.579,198,178,0.32,0.08,2003,1,.573,,,,
Edmonton Oilers,82,36,26,11,92,.561,231,230,0.12,0.11,2003,9,.506,,,,
Calgary Flames,82,29,36,13,75,.457,186,228,-0.37,0.14,2003,4,.433,,,,
Dallas Stars,82,46,17,15,111,.677,245,169,0.94,0.01,2003,4,.652,,,,
Mighty Ducks of Anaheim,82,40,27,9,95,.579,203,193,0.19,0.07,2003,6,.543,,,,
Los Angeles Kings,82,33,36,6,79,.482,203,221,-0.13,0.09,2003,7,.439,,,,
Phoenix Coyotes,82,31,35,11,78,.476,204,230,-0.23,0.08,2003,5,.445,,,,
San Jose Sharks,82,28,37,9,73,.445,214,239,-0.21,0.10,2003,8,.396,,,,
Philadelphia Flyers,82,40,21,15,101,.616,229,186,0.47,-0.05,2004,6,.579,,,,
New Jersey Devils,82,43,25,12,100,.610,213,164,0.54,-0.06,2004,2,.598,,,,
New York Islanders,82,38,29,11,91,.555,237,210,0.29,-0.04,2004,4,.530,,,,
New York Rangers,82,27,40,7,69,.421,206,250,-0.51,0.03,2004,8,.372,,,,
Pittsburgh Penguins,82,23,47,8,58,.354,190,303,-1.31,0.07,2004,4,.329,,,,
Boston Bruins,82,41,19,15,104,.634,209,188,0.29,0.03,2004,7,.591,,,,
Toronto Maple Leafs,82,45,24,10,103,.628,242,204,0.48,0.02,2004,3,.610,,,,
Ottawa Senators,82,43,23,10,102,.622,262,189,0.88,-0.01,2004,6,.585,,,,
Montreal Canadiens,82,41,30,7,93,.567,208,192,0.23,0.04,2004,4,.543,,,,
Buffalo Sabres,82,37,34,7,85,.518,220,221,0.02,0.04,2004,4,.494,,,,
Tampa Bay Lightning,82,46,22,8,106,.646,245,192,0.56,-0.09,2004,6,.610,,,,
Atlanta Thrashers,82,33,37,8,78,.476,214,243,-0.38,-0.03,2004,4,.451,,,,
Carolina Hurricanes,82,28,34,14,76,.463,172,209,-0.46,-0.01,2004,6,.427,,,,
Florida Panthers,82,28,35,15,75,.457,188,221,-0.42,-0.02,2004,4,.433,,,,
Washington Capitals,82,23,46,10,59,.360,186,253,-0.80,0.02,2004,3,.341,,,,
Detroit Red Wings,82,48,21,11,109,.665,255,189,0.72,-0.09,2004,2,.652,,,,
St. Louis Blues,82,39,30,11,91,.555,191,198,-0.09,-0.01,2004,2,.543,,,,
Nashville Predators,82,38,29,11,91,.555,216,217,-0.05,-0.04,2004,4,.530,,,,
Columbus Blue Jackets,82,25,45,8,62,.378,177,238,-0.72,0.03,2004,4,.354,,,,
Chicago Blackhawks,82,20,43,11,59,.360,188,259,-0.84,0.02,2004,8,.311,,,,
Vancouver Canucks,82,43,24,10,101,.616,235,194,0.52,0.02,2004,5,.585,,,,
Colorado Avalanche,82,40,22,13,100,.610,236,198,0.48,0.02,2004,7,.567,,,,
Calgary Flames,82,42,30,7,94,.573,200,176,0.33,0.04,2004,3,.555,,,,
Edmonton Oilers,82,36,29,12,89,.543,221,208,0.21,0.05,2004,5,.512,,,,
Minnesota Wild,82,30,29,20,83,.506,188,183,0.08,0.02,2004,3,.488,,,,
San Jose Sharks,82,43,21,12,104,.634,219,183,0.40,-0.04,2004,6,.598,,,,
Dallas Stars,82,41,26,13,97,.591,194,175,0.22,-0.01,2004,2,.579,,,,
Los Angeles Kings,82,28,29,16,81,.494,205,217,-0.15,0.00,2004,9,.439,,,,
Mighty Ducks of Anaheim,82,29,35,10,76,.463,184,213,-0.34,0.01,2004,8,.415,,,,
Phoenix Coyotes,82,22,36,18,68,.415,188,245,-0.66,0.04,2004,6,.378,,,,
New Jersey Devils,82,46,27,,101,.616,242,229,0.05,-0.11,2006,9,.530,37,33-27-22,.537,
Philadelphia Flyers,82,45,26,,101,.616,267,259,0.00,-0.10,2006,11,.561,41,34-26-22,.549,
New York Rangers,82,44,26,,100,.610,257,215,0.38,-0.14,2006,12,.518,37,33-26-23,.543,
New York Islanders,82,36,40,,78,.476,230,278,-0.62,-0.04,2006,6,.402,27,24-40-18,.402,
Pittsburgh Penguins,82,22,46,,58,.354,244,316,-0.89,-0.01,2006,14,.299,21,17-46-19,.323,
Ottawa Senators,82,52,21,,113,.689,314,211,1.18,-0.08,2006,9,.659,50,48-21-13,.665,
Buffalo Sabres,82,52,24,,110,.671,281,239,0.50,-0.01,2006,6,.634,47,41-24-17,.604,
Montreal Canadiens,82,42,31,,93,.567,243,247,-0.01,0.04,2006,9,.518,40,33-31-18,.512,
Toronto Maple Leafs,82,41,33,,90,.549,257,270,-0.11,0.05,2006,8,.524,38,31-33-18,.488,
Boston Bruins,82,29,37,,74,.451,230,266,-0.36,0.08,2006,16,.390,27,23-37-22,.415,
Carolina Hurricanes,82,52,22,,112,.683,294,260,0.29,-0.13,2006,8,.598,44,40-22-20,.610,
Tampa Bay Lightning,82,43,33,,92,.561,252,260,-0.18,-0.08,2006,6,.512,37,31-33-18,.488,
Atlanta Thrashers,82,41,33,,90,.549,281,275,-0.03,-0.10,2006,8,.500,36,31-33-18,.488,
Florida Panthers,82,37,34,,85,.518,240,257,-0.28,-0.07,2006,11,.457,33,25-34-23,.445,
Washington Capitals,82,29,41,,70,.427,237,306,-0.86,-0.02,2006,12,.348,22,20-41-21,.372,
Detroit Red Wings,82,58,16,,124,.756,305,209,1.03,-0.14,2006,8,.701,54,51-16-15,.713,
Nashville Predators,82,49,25,,106,.646,259,227,0.32,-0.07,2006,8,.579,43,40-25-17,.591,
Columbus Blue Jackets,82,35,43,,74,.451,223,279,-0.66,0.02,2006,4,.396,27,21-43-18,.366,
Chicago Blackhawks,82,26,43,,65,.396,211,285,-0.86,0.04,2006,13,.341,24,17-43-22,.341,
St. Louis Blues,82,21,46,,57,.348,197,292,-1.09,0.07,2006,15,.280,17,14-46-22,.305,
Calgary Flames,82,46,25,,103,.628,218,200,0.30,0.08,2006,11,.591,44,42-25-15,.604,
Colorado Avalanche,82,43,30,,95,.579,283,257,0.39,0.07,2006,9,.543,40,37-30-15,.543,
Edmonton Oilers,82,41,28,,95,.579,256,251,0.15,0.09,2006,13,.512,34,28-28-26,.500,
Vancouver Canucks,82,42,32,,92,.561,256,255,0.11,0.10,2006,8,.512,38,34-32-16,.512,
Minnesota Wild,82,38,36,,84,.512,231,215,0.28,0.08,2006,8,.451,33,32-36-14,.476,
Dallas Stars,82,53,23,,112,.683,265,218,0.61,0.04,2006,6,.579,41,38-23-21,.591,
San Jose Sharks,82,44,27,,99,.604,266,242,0.36,0.06,2006,11,.573,43,34-27-21,.543,
Mighty Ducks of Anaheim,82,43,27,,98,.598,254,229,0.37,0.06,2006,12,.549,40,37-27-18,.561,
Los Angeles Kings,82,42,35,,89,.543,249,270,-0.15,0.11,2006,5,.482,36,32-35-15,.482,
Phoenix Coyotes,82,38,39,,81,.494,246,271,-0.19,0.12,2006,5,.457,34,28-39-15,.433,
New Jersey Devils,82,49,24,,107,.652,216,201,0.03,-0.15,2007,9,.585,39,36-24-22,.573,
Pittsburgh Penguins,82,47,24,,105,.640,277,246,0.21,-0.17,2007,11,.549,37,31-24-27,.543,
New York Rangers,82,42,30,,94,.573,242,216,0.16,-0.16,2007,10,.488,33,30-30-22,.500,
New York Islanders,82,40,30,,92,.561,248,240,-0.04,-0.14,2007,12,.470,32,30-30-22,.500,
Philadelphia Flyers,82,22,48,,56,.341,214,303,-1.12,-0.04,2007,12,.299,21,18-48-16,.317,
Buffalo Sabres,82,53,22,,113,.689,308,242,0.64,-0.16,2007,7,.610,43,38-22-22,.598,
Ottawa Senators,82,48,25,,105,.640,288,222,0.64,-0.16,2007,9,.610,46,44-25-13,.616,
Toronto Maple Leafs,82,40,31,,91,.555,258,269,-0.21,-0.08,2007,11,.506,36,32-31-19,.506,
Montreal Canadiens,82,42,34,,90,.549,245,256,-0.21,-0.08,2007,6,.506,36,34-34-14,.500,
Boston Bruins,82,35,41,,76,.463,219,289,-0.87,-0.01,2007,6,.396,26,22-41-19,.384,
Atlanta Thrashers,82,43,28,,97,.591,246,245,-0.15,-0.16,2007,11,.506,36,29-28-25,.506,
Tampa Bay Lightning,82,44,33,,93,.567,253,261,-0.25,-0.15,2007,5,.488,34,29-33-20,.476,
Carolina Hurricanes,82,40,34,,88,.537,241,253,-0.29,-0.15,2007,8,.518,40,34-34-14,.500,
Florida Panthers,82,35,31,,86,.524,247,257,-0.27,-0.15,2007,16,.463,33,30-31-21,.494,
Washington Capitals,82,28,40,,70,.427,235,286,-0.73,-0.10,2007,14,.402,27,23-40-19,.396,
Detroit Red Wings,82,50,19,,113,.689,254,199,0.72,0.05,2007,13,.646,48,45-19-18,.659,
Nashville Predators,82,51,23,,110,.671,272,212,0.78,0.05,2007,8,.616,45,42-23-17,.616,
St. Louis Blues,82,34,35,,81,.494,214,254,-0.33,0.15,2007,13,.415,28,24-35-23,.433,
Columbus Blue Jackets,82,33,42,,73,.445,201,249,-0.42,0.16,2007,7,.402,28,24-42-16,.390,
Chicago Blackhawks,82,31,42,,71,.433,201,258,-0.52,0.17,2007,9,.384,25,22-42-18,.378,
Vancouver Canucks,82,49,26,,105,.640,222,201,0.39,0.13,2007,7,.591,44,32-26-24,.537,
Minnesota Wild,82,48,26,,104,.634,235,191,0.65,0.11,2007,8,.567,38,31-26-25,.530,
Calgary Flames,82,43,29,,96,.585,258,226,0.51,0.12,2007,10,.537,40,38-29-15,.555,
Colorado Avalanche,82,44,31,,95,.579,272,251,0.39,0.13,2007,7,.530,39,36-31-15,.530,
Edmonton Oilers,82,32,43,,71,.433,195,248,-0.43,0.22,2007,7,.390,29,28-43-11,.409,
Anaheim Ducks,82,48,20,,110,.671,258,208,0.67,0.06,2007,14,.622,44,39-20-23,.616,
San Jose Sharks,82,51,26,,107,.652,258,199,0.77,0.05,2007,5,.622,49,48-26-8,.634,
Dallas Stars,82,50,25,,107,.652,226,197,0.44,0.08,2007,7,.579,41,35-25-22,.561,
Los Angeles Kings,82,27,41,,68,.415,227,283,-0.51,0.18,2007,14,.341,23,21-41-20,.378,
Phoenix Coyotes,82,31,46,,67,.409,216,284,-0.64,0.19,2007,5,.360,26,24-46-12,.366,
Pittsburgh Penguins,82,47,27,,102,.622,247,216,0.24,-0.14,2008,8,.555,40,39-27-16,.573,
New Jersey Devils,82,46,29,,99,.604,206,197,0.00,-0.11,2008,7,.537,38,31-29-22,.512,
New York Rangers,82,42,27,,97,.591,213,199,0.05,-0.12,2008,13,.518,34,30-27-25,.518,
Philadelphia Flyers,82,42,29,,95,.579,248,233,0.06,-0.12,2008,11,.530,39,36-29-17,.543,
New York Islanders,82,35,38,,79,.482,194,243,-0.65,-0.05,2008,9,.415,30,25-38-19,.421,
Montreal Canadiens,82,47,25,,104,.634,262,222,0.35,-0.14,2008,10,.579,42,37-25-20,.573,
Ottawa Senators,82,43,31,,94,.573,261,247,0.06,-0.11,2008,8,.537,40,37-31-14,.537,
Boston Bruins,82,41,29,,94,.573,212,222,-0.20,-0.08,2008,12,.506,35,32-29-21,.518,
Buffalo Sabres,82,39,31,,90,.549,255,242,0.05,-0.11,2008,12,.506,35,30-31-21,.494,
Toronto Maple Leafs,82,36,35,,83,.506,231,260,-0.42,-0.06,2008,11,.445,33,28-35-19,.457,
Washington Capitals,82,43,31,,94,.573,242,231,-0.06,-0.19,2008,8,.524,39,32-31-19,.506,
Carolina Hurricanes,82,43,33,,92,.561,252,249,-0.15,-0.18,2008,6,.530,41,36-33-13,.518,
Florida Panthers,82,38,35,,85,.518,216,226,-0.29,-0.17,2008,9,.470,33,29-35-18,.463,
Atlanta Thrashers,82,34,40,,76,.463,216,272,-0.80,-0.12,2008,8,.396,25,19-40-23,.372,
Tampa Bay Lightning,82,31,42,,71,.433,223,267,-0.67,-0.13,2008,9,.372,29,27-42-13,.409,
Detroit Red Wings,82,54,21,,115,.701,257,184,0.93,0.04,2008,7,.659,49,47-21-14,.659,
Nashville Predators,82,41,32,,91,.555,230,229,0.13,0.12,2008,9,.512,38,33-32-17,.506,
Chicago Blackhawks,82,40,34,,88,.537,239,235,0.16,0.12,2008,8,.482,35,31-34-17,.482,
Columbus Blue Jackets,82,34,36,,80,.488,193,218,-0.16,0.15,2008,12,.445,31,29-36-17,.457,
St. Louis Blues,82,33,36,,79,.482,205,237,-0.24,0.16,2008,13,.415,30,29-36-17,.457,
Minnesota Wild,82,44,28,,98,.598,223,218,0.16,0.10,2008,10,.567,41,35-28-19,.543,
Colorado Avalanche,82,44,31,,95,.579,231,219,0.24,0.09,2008,7,.512,37,33-31-18,.512,
Calgary Flames,82,42,30,,94,.573,229,227,0.13,0.10,2008,10,.512,39,36-30-16,.537,
Edmonton Oilers,82,41,35,,88,.537,235,251,-0.07,0.12,2008,6,.433,26,22-35-25,.421,
Vancouver Canucks,82,39,33,,88,.537,213,215,0.08,0.11,2008,10,.494,33,29-33-20,.476,
San Jose Sharks,82,49,23,,108,.659,222,193,0.47,0.12,2008,10,.598,43,40-23-19,.604,
Anaheim Ducks,82,47,27,,102,.622,205,191,0.30,0.13,2008,8,.567,39,35-27-20,.549,
Dallas Stars,82,45,30,,97,.591,242,207,0.54,0.11,2008,7,.537,40,37-30-15,.543,
Phoenix Coyotes,82,38,37,,83,.506,214,231,-0.04,0.17,2008,7,.470,33,29-37-16,.451,
Los Angeles Kings,82,32,43,,71,.433,231,266,-0.24,0.19,2008,7,.378,27,25-43-14,.390,
New Jersey Devils,82,51,27,,106,.646,244,209,0.38,-0.05,2009,4,.598,45,36-27-19,.555,
Pittsburgh Penguins,82,45,28,,99,.604,264,239,0.28,-0.02,2009,9,.549,39,33-28-21,.530,
Philadelphia Flyers,82,44,27,,99,.604,264,238,0.28,-0.04,2009,11,.549,40,34-27-21,.543,
New York Rangers,82,43,30,,95,.579,210,218,-0.10,-0.01,2009,9,.500,33,30-30-22,.500,
New York Islanders,82,26,47,,61,.372,201,279,-0.91,0.05,2009,9,.329,23,20-47-15,.335,
Boston Bruins,82,53,19,,116,.707,274,196,0.89,-0.06,2009,10,.659,49,46-19-17,.665,
Montreal Canadiens,82,41,30,,93,.567,249,247,0.02,-0.01,2009,11,.500,34,30-30-22,.500,
Buffalo Sabres,82,41,32,,91,.555,250,234,0.18,-0.02,2009,9,.482,33,31-32-19,.494,
Ottawa Senators,82,36,35,,83,.506,217,237,-0.23,0.01,2009,11,.451,32,29-35-18,.463,
Toronto Maple Leafs,82,34,35,,81,.494,250,293,-0.49,0.03,2009,13,.421,28,24-35-23,.433,
Washington Capitals,82,50,24,,108,.659,272,245,0.27,-0.06,2009,8,.616,46,40-24-18,.598,
Carolina Hurricanes,82,45,30,,97,.591,239,226,0.11,-0.05,2009,7,.561,42,35-30-17,.530,
Florida Panthers,82,41,30,,93,.567,234,231,0.00,-0.04,2009,11,.530,38,34-30-18,.524,
Atlanta Thrashers,82,35,41,,76,.463,257,280,-0.30,-0.02,2009,6,.390,28,24-41-17,.396,
Tampa Bay Lightning,82,24,40,,66,.402,210,279,-0.81,0.03,2009,18,.335,21,19-40-23,.372,
Detroit Red Wings,82,51,21,,112,.683,295,244,0.62,0.00,2009,10,.610,45,42-21-19,.628,
Chicago Blackhawks,82,46,24,,104,.634,264,216,0.60,0.01,2009,12,.579,42,36-24-22,.573,
St. Louis Blues,82,41,31,,92,.561,233,233,0.05,0.05,2009,10,.500,35,31-31-20,.500,
Columbus Blue Jackets,82,41,31,,92,.561,226,230,-0.01,0.04,2009,10,.506,35,30-31-21,.494,
Nashville Predators,82,40,34,,88,.537,213,233,-0.19,0.06,2009,8,.482,34,28-34-20,.463,
Vancouver Canucks,82,45,27,,100,.610,246,220,0.30,-0.02,2009,10,.573,42,37-27-18,.561,
Calgary Flames,82,46,30,,98,.598,254,248,0.07,0.00,2009,6,.555,43,40-30-12,.561,
Minnesota Wild,82,40,33,,89,.543,219,200,0.22,-0.02,2009,9,.476,35,32-33-17,.494,
Edmonton Oilers,82,38,35,,85,.518,234,248,-0.16,0.01,2009,9,.451,32,31-35-16,.476,
Colorado Avalanche,82,32,45,,69,.421,199,257,-0.66,0.05,2009,5,.360,23,20-45-17,.348,
San Jose Sharks,82,53,18,,117,.713,257,204,0.61,-0.04,2009,11,.640,47,43-18-21,.652,
Anaheim Ducks,82,42,33,,91,.555,245,238,0.09,0.00,2009,7,.488,35,30-33-19,.482,
Dallas Stars,82,36,35,,83,.506,230,257,-0.30,0.03,2009,11,.439,30,25-35-22,.439,
Phoenix Coyotes,82,36,39,,79,.482,208,252,-0.50,0.04,2009,7,.439,33,32-39-11,.457,
Los Angeles Kings,82,34,37,,79,.482,207,234,-0.29,0.04,2009,11,.433,29,26-37-19,.433,
New Jersey Devils,82,48,27,,103,.628,222,191,0.31,-0.07,2010,7,.579,42,40-27-15,.579,
Pittsburgh Penguins,82,47,28,,101,.616,257,237,0.17,-0.07,2010,7,.537,39,33-28-21,.530,
Philadelphia Flyers,82,41,35,,88,.537,236,225,0.08,-0.06,2010,6,.494,37,35-35-12,.500,
New York Rangers,82,38,33,,87,.530,222,218,0.00,-0.05,2010,11,.470,35,34-33-15,.506,
New York Islanders,82,34,37,,79,.482,222,264,-0.53,-0.02,2010,11,.402,26,20-37-25,.396,
Buffalo Sabres,82,45,27,,100,.610,235,207,0.26,-0.08,2010,10,.561,41,35-27-20,.549,
Ottawa Senators,82,44,32,,94,.573,225,238,-0.22,-0.06,2010,6,.537,39,34-32-16,.512,
Boston Bruins,82,39,30,,91,.555,206,200,0.01,-0.06,2010,13,.470,29,25-30-27,.470,
Montreal Canadiens,82,39,33,,88,.537,217,223,-0.14,-0.07,2010,10,.463,32,24-33-25,.445,
Toronto Maple Leafs,82,30,38,,74,.451,214,267,-0.68,-0.03,2010,14,.366,26,21-38-23,.396,
Washington Capitals,82,54,15,,121,.738,318,233,0.90,-0.14,2010,13,.665,49,43-15-24,.671,
Atlanta Thrashers,82,35,34,,83,.506,234,256,-0.33,-0.06,2010,13,.439,31,29-34-19,.470,
Carolina Hurricanes,82,35,37,,80,.488,230,256,-0.37,-0.05,2010,10,.433,31,26-37-19,.433,
Tampa Bay Lightning,82,34,36,,80,.488,217,260,-0.56,-0.03,2010,12,.433,30,25-36-21,.433,
Florida Panthers,82,32,37,,77,.470,208,244,-0.47,-0.03,2010,13,.415,26,24-37-21,.421,
Chicago Blackhawks,82,52,22,,112,.683,271,209,0.77,0.02,2010,8,.616,43,37-22-23,.591,
Detroit Red Wings,82,44,24,,102,.622,229,216,0.23,0.07,2010,14,.555,38,33-24-25,.555,
Nashville Predators,82,47,29,,100,.610,225,225,0.06,0.06,2010,6,.549,39,33-29-20,.524,
St. Louis Blues,82,40,32,,90,.549,225,223,0.08,0.06,2010,10,.476,33,30-32-20,.488,
Columbus Blue Jackets,82,32,35,,79,.482,216,259,-0.42,0.11,2010,15,.439,30,27-35-20,.451,
Vancouver Canucks,82,49,28,,103,.628,272,222,0.60,-0.01,2010,5,.598,45,41-28-13,.579,
Colorado Avalanche,82,43,30,,95,.579,244,233,0.16,0.02,2010,9,.512,36,34-30-18,.524,
Calgary Flames,82,40,32,,90,.549,204,210,-0.03,0.04,2010,10,.512,37,35-32-15,.518,
Minnesota Wild,82,38,36,,84,.512,219,246,-0.26,0.07,2010,8,.476,33,28-36-18,.451,
Edmonton Oilers,82,27,47,,62,.378,214,284,-0.76,0.09,2010,8,.317,19,18-47-17,.323,
San Jose Sharks,82,51,20,,113,.689,264,215,0.65,0.05,2010,11,.616,44,43-20-19,.640,
Phoenix Coyotes,82,50,25,,107,.652,225,202,0.34,0.06,2010,7,.561,36,31-25-26,.537,
Los Angeles Kings,82,46,27,,101,.616,241,219,0.32,0.05,2010,9,.549,36,32-27-23,.530,
Anaheim Ducks,82,39,32,,89,.543,238,251,-0.07,0.09,2010,11,.494,34,31-32-19,.494,
Dallas Stars,82,37,31,,88,.537,237,254,-0.12,0.09,2010,14,.470,30,28-31-23,.482,
Philadelphia Flyers,82,47,23,,106,.646,259,223,0.40,-0.04,2011,12,.598,44,41-23-18,.610,
Pittsburgh Penguins,82,49,25,,106,.646,238,199,0.43,-0.05,2011,8,.555,39,34-25-23,.555,
New York Rangers,82,44,33,,93,.567,233,198,0.37,-0.06,2011,5,.500,35,32-33-17,.494,
New Jersey Devils,82,38,39,,81,.494,174,209,-0.41,0.02,2011,5,.457,35,28-39-15,.433,
New York Islanders,82,30,39,,73,.445,229,264,-0.42,0.01,2011,13,.378,26,19-39-24,.378,
Boston Bruins,82,46,25,,103,.628,246,195,0.56,-0.07,2011,11,.585,44,43-25-14,.610,
Montreal Canadiens,82,44,30,,96,.585,216,209,0.05,-0.04,2011,8,.537,41,36-30-16,.537,
Buffalo Sabres,82,43,29,,96,.585,245,229,0.15,-0.04,2011,10,.500,38,28-29-25,.494,
Toronto Maple Leafs,82,37,34,,85,.518,218,251,-0.41,0.00,2011,11,.457,32,30-34-18,.476,
Ottawa Senators,82,32,40,,74,.451,192,250,-0.69,0.02,2011,10,.409,30,28-40-14,.427,
Washington Capitals,82,48,23,,107,.652,224,197,0.27,-0.06,2011,11,.591,43,34-23-25,.567,
Tampa Bay Lightning,82,46,25,,103,.628,247,240,0.04,-0.05,2011,11,.561,40,32-25-25,.543,
Carolina Hurricanes,82,40,31,,91,.555,236,239,-0.08,-0.04,2011,11,.488,35,29-31-22,.488,
Atlanta Thrashers,82,34,36,,80,.488,223,269,-0.57,-0.01,2011,12,.427,29,19-36-27,.396,
Florida Panthers,82,30,40,,72,.439,195,229,-0.43,-0.01,2011,12,.384,26,20-40-22,.378,
Detroit Red Wings,82,47,25,,104,.634,261,241,0.27,0.03,2011,10,.573,43,34-25-23,.555,
Nashville Predators,82,44,27,,99,.604,219,194,0.31,0.01,2011,11,.524,38,36-27-19,.555,
Chicago Blackhawks,82,44,29,,97,.591,258,225,0.41,0.01,2011,9,.530,38,34-29-19,.530,
St. Louis Blues,82,38,33,,87,.530,240,234,0.11,0.04,2011,11,.476,34,31-33-18,.488,
Columbus Blue Jackets,82,34,35,,81,.494,215,258,-0.45,0.08,2011,13,.433,29,24-35-23,.433,
Vancouver Canucks,82,54,19,,117,.713,262,185,0.87,-0.07,2011,9,.665,50,46-19-17,.665,
Calgary Flames,82,41,29,,94,.573,250,237,0.14,-0.02,2011,12,.488,32,30-29-23,.506,
Minnesota Wild,82,39,35,,86,.524,206,233,-0.30,0.03,2011,8,.488,36,31-35-16,.476,
Colorado Avalanche,82,30,44,,68,.415,227,288,-0.70,0.05,2011,8,.335,24,18-44-20,.341,
Edmonton Oilers,82,25,45,,62,.378,193,269,-0.87,0.06,2011,12,.348,23,21-45-16,.354,
San Jose Sharks,82,48,25,,105,.640,248,213,0.44,0.02,2011,9,.585,43,38-25-19,.579,
Anaheim Ducks,82,47,30,,99,.604,239,235,0.09,0.05,2011,5,.561,43,34-30-18,.524,
Phoenix Coyotes,82,43,26,,99,.604,231,226,0.11,0.05,2011,13,.530,38,36-26-20,.561,
Los Angeles Kings,82,46,30,,98,.598,219,198,0.29,0.03,2011,6,.512,36,35-30-17,.530,
Dallas Stars,82,42,29,,95,.579,227,233,-0.02,0.05,2011,11,.524,37,32-29-21,.518,
New York Rangers,82,51,24,,109,.665,226,187,0.46,-0.02,2012,7,.628,47,39-24-19,.591,
Pittsburgh Penguins,82,51,25,,108,.659,282,221,0.71,-0.03,2012,6,.585,42,40-25-17,.591,
Philadelphia Flyers,82,47,26,,103,.628,264,232,0.39,0.00,2012,9,.591,43,37-26-19,.567,
New Jersey Devils,82,48,28,,102,.622,228,209,0.23,0.00,2012,6,.537,36,32-28-22,.524,
New York Islanders,82,34,37,,79,.482,203,255,-0.58,0.05,2012,11,.396,27,24-37-21,.421,
Boston Bruins,82,49,29,,102,.622,269,202,0.75,-0.07,2012,4,.561,40,38-29-15,.555,
Ottawa Senators,82,41,31,,92,.561,249,240,0.09,-0.02,2012,10,.488,35,30-31-21,.494,
Buffalo Sabres,82,39,32,,89,.543,218,230,-0.15,0.00,2012,11,.476,32,27-32-23,.470,
Toronto Maple Leafs,82,35,37,,80,.488,231,264,-0.38,0.02,2012,10,.433,31,26-37-19,.433,
Montreal Canadiens,82,31,35,,78,.476,212,226,-0.17,0.00,2012,16,.421,26,24-35-23,.433,
Florida Panthers,82,38,26,,94,.573,203,227,-0.33,-0.03,2012,18,.494,32,31-26-25,.530,
Washington Capitals,82,42,32,,92,.561,222,230,-0.13,-0.03,2012,8,.512,38,31-32-19,.494,
Tampa Bay Lightning,82,38,36,,84,.512,235,281,-0.57,-0.01,2012,8,.463,35,25-36-21,.433,
Winnipeg Jets,82,37,35,,84,.512,225,246,-0.30,-0.04,2012,10,.451,33,27-35-20,.451,
Carolina Hurricanes,82,33,33,,82,.500,213,243,-0.39,-0.02,2012,16,.433,32,29-33-20,.476,
St. Louis Blues,82,49,22,,109,.665,210,165,0.54,-0.01,2012,11,.634,45,42-22-18,.622,
Nashville Predators,82,48,26,,104,.634,237,210,0.34,0.01,2012,8,.585,43,40-26-16,.585,
Detroit Red Wings,82,48,28,,102,.622,248,203,0.55,0.00,2012,6,.549,39,36-28-18,.549,
Chicago Blackhawks,82,45,26,,101,.616,248,238,0.14,0.02,2012,11,.549,38,34-26-22,.549,
Columbus Blue Jackets,82,29,46,,65,.396,202,262,-0.65,0.08,2012,7,.360,25,23-46-13,.360,
